norad_id,intl_designator,name,alt_names,object_type,size_class,size_source,mass_kg,length_m,width_m,height_m,deployed_span_m,shape,equiv_sphere_radius_m,rcs_m2,status,gcat_status,launch_date,decay_date,launch_vehicle,launch_site,launch_site_country,launch_pad,operator,operator_country,orbit_source,op_orbit,orbit_epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_day,period_min,sma_km,apogee_km,perigee_km,ns_org,ns_nation,ns_status,ns_desc,ns_url
69020,2026-100AS,Selene,-,Payload,8 kg,mass,8.0,0.3,0.2,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Emtech Space S.A.,GR,TLE 2026-05-28,LLEO/S,2026-05-28T05:25:46Z,97.4068,46.3795,0.0005845,63.3417,296.8416,15.19618402,94.761,6885.13,511.0,503.0,,,,,
,2026-100AF,SNAPPY,-,Payload,5 kg,mass,5.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Wichita State Unviersity,US,GCAT (initial),LLEO/S,,97.41,,,,,,,,512.0,503.0,,,,,
69016,2026-100AN,RAVEN,-,Payload,8 kg,mass,8.0,0.3,0.2,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,TALOS/MPG,D,TLE 2026-05-28,LLEO/S,2026-05-28T06:20:30Z,97.4057,46.475,0.0009603,114.4788,245.745,15.21232081,94.66,6880.26,508.7,495.5,,,,,
,2026-100AV,QUBE-II,-,Payload,4 kg,mass,4.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Zentrum fur Telematik e.V.,D,GCAT (initial),LLEO/S,,97.41,,,,,,,,510.0,503.0,,,,,
68980,2026-100A,PEARL-1B,-,Payload,8.8 kg,mass,8.8,0.3,0.2,,0.3,Box+2 pan,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,FOXC/NCU,TW,TLE 2026-05-28,LLEO/S,2026-05-28T04:08:42Z,97.7389,45.9541,0.0006404,202.2548,157.8393,14.90474816,96.614,6974.591,600.9,592.0,,,,,
68990,2026-100L,PEARL-1A,-,Payload,8.8 kg,mass,8.8,0.3,0.2,,0.3,Box+2 pan,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,FOXC/NCU,TW,TLE 2026-05-28,LLEO/S,2026-05-28T05:34:59Z,97.7334,46.02,0.0004089,217.0752,143.0185,14.90899271,96.586,6973.267,598.0,592.3,,,,,
68994,2026-100Q,Nulink-2,-,Payload,3 kg,mass,3.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,NuSpace Pte Ltd.,SG,TLE 2026-05-28,LLEO/S,2026-05-28T06:36:09Z,97.736,46.1226,0.0002587,60.6269,299.5209,14.92416754,96.488,6968.539,592.2,588.6,,,,,
,2026-100S,Nulink-1,-,Payload,3 kg,mass,3.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,NuSpace Pte Ltd.,SG,GCAT (initial),LLEO/S,,97.74,,,,,,,,593.0,592.0,,,,,
69006,2026-100AC,JEN-1,-,Payload,10 kg,mass,10.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Orbital Astronautics,UK,TLE 2026-05-28,LLEO/S,2026-05-28T06:50:15Z,97.4075,46.4581,0.0005988,82.5372,277.6543,15.20005683,94.736,6883.96,509.9,501.7,,,,,
69022,2026-100AU,Hydra-3,-,Payload,10 kg,mass,10.0,0.3,0.1,,0.5,Box+3 pan,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Aistech Space,E,TLE 2026-05-28,LLEO/S,2026-05-28T06:57:53Z,97.4052,46.4379,0.0006794,69.6232,290.5732,15.19674273,94.757,6884.961,511.5,502.1,,,,,
69021,2026-100AT,Helios,-,Payload,8 kg,mass,8.0,0.3,0.2,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Emtech Space S.A.,GR,TLE 2026-05-28,LLEO/S,2026-05-28T05:23:32Z,97.4051,46.3732,0.000653,67.3701,292.8224,15.19710869,94.755,6884.851,511.2,502.2,,,,,
69000,2026-100W,Gemini-Pollux,-,Payload,4 kg,mass,4.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Guoli Chenggong Daxue (Chengda),TW,TLE 2026-05-28,LLEO/S,2026-05-28T06:41:58Z,97.735,46.1162,0.0001351,54.9618,305.1727,14.9214479,96.505,6969.386,592.2,590.3,,,,,
,2026-100AM,FrontierSat,-,Payload,5 kg,mass,5.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,University of Calgary,CA,GCAT (initial),LLEO/S,,97.4,,,,,,,,508.0,496.0,,,,,
,2026-100K,BusanSat,-,Payload,12 kg,mass,12.0,0.4,0.3,,0.4,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Busan-gwangyeoksi,KR,GCAT (initial),LLEO/S,,97.74,,,,,,,,595.0,592.0,,,,,
,2026-100AB,BSLT-3,-,Payload,5 kg,mass,5.0,0.3,0.1,,0.3,Box,,,In orbit,O,2026-05-03,-,Falcon 9 (FT5),"South Base, Vandenberg Space Force Base, California",US,SLC4E,Basalt Technologies,US,GCAT (initial),LLEO/S,,97.74,,,,,,,,595.0,592.0,,,,,
,2026-088F,WASEDA-SAT-ZERO-II,-,Payload,1.2 kg,mass,1.2,0.1,0.1,,0.6,Box+sail,,,In orbit,O,2026-04-23,-,Electron,"Rocket Lab Launch Complex 1, Onenui Station, Mahia Peninsula",NZ,LC1A,Waseda Daigaku (Sodai),J,GCAT (initial),LLEO/S,,97.5,,,,,,,,556.0,538.0,,,,,
,2026-088C,PRELUDE,-,Payload,1 kg,mass,1.0,0.1,0.1,,0.1,Box,,,In orbit,O,2026-04-23,-,Electron,"Rocket Lab Launch Complex 1, Onenui Station, Mahia Peninsula",NZ,LC1A,Nihon Daigaku,J,GCAT (initial),LLEO/S,,97.49,,,,,,,,552.0,532.0,,,,,
,2026-088D,OrigamiSat-2,-,Payload,4 kg,mass,4.0,0.3,0.1,,1.3,Box+boom+sail,,,In orbit,O,2026-04-23,-,Electron,"Rocket Lab Launch Complex 1, Onenui Station, Mahia Peninsula",NZ,LC1A,Tokyo Kagaku Daigaku,J,GCAT (initial),LLEO/S,,97.5,,,,,,,,552.0,533.0,,,,,
